record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,price_msp_gap,below_supplied_msp,date_status,mandi_id_status,district_status,msp_comparison_status,source_record_id,source_date,source_mandi_id,source_district,source_crop_name,source_min_price,source_max_price,source_modal_price,source_msp
PR007394,2026-03-25,MANDI024,Karnal,Sugarcane,3074.76,3382.79,3229.0,3500.0,-271.0,True,Parsed: unambiguous,Matched,Agrees with master,Compared: common basis implied by challenge,PR007394,25.03.2026,MANDI024,Karnal,sugarcane,"₹3,074.76",3382.79,"Rs. 3,229","₹3,500.00"
PR004644,2026-05-25,MANDI026,Hisar,Mustard,5725.0,6263.77,5994.455824860666,5650.0,344.4558248606663,False,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR004644,2026/05/25,026,NA,mustard,"INR 5,725","₹6,263.77",5994.455824860666,5650
PR002514,2026-07-21,MANDI007,Amritsar,Maize,1988.4744912268284,2299.86,2144.167343486675,2090.0,54.16734348667478,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002514,21/07/2026,MANDI007,Hisar,corn,1988.4744912268284,"2,299.86/-",2144.167343486675,"INR 2,090"
PR010213,2026-02-17,MANDI043,Agra,Wheat,1958.0,2157.0,2057.3,2275.0,-217.69999999999982,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR010213,02-17-2026,mandi_043,Jalandhar,wheat,"Rs. 1,958","INR 2,157","2,057.30/-",2275
PR011212,2026-05-31,MANDI008,Amritsar,Sugarcane,3280.592160219738,4064.73,3672.66,3500.0,172.65999999999985,False,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR011212,31-May-2026,MANDI008,NA,sugarcane,3280.592160219738,4064.73,"₹3,672.66","INR 3,500"
PR011958,2026-04-02,NA,NA,Wheat,2215.53,2450.04,2332.79,2275.0,57.789999999999964,False,Parsed: assumed format by separator,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR011958,02/04/2026,NA,Bathinda,Kanak,"₹2,215.53","2,450.04/-",2332.79,2275
PR002913,2026-08-08,MANDI027,Hisar,Mustard,5826.290509325942,6273.0,6049.51,5650.0,399.5100000000002,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002913,08.08.2026,MANDI-027,Sirsa,Mustard,5826.290509325942,"INR 6,273",6049.51,"INR 5,650"
PR000358,2026-01-31,MANDI030,Sirsa,Maize,1867.38,NA,1949.0,2090.0,-141.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000358,31/01/2026,MANDI030,Ludhiana,Corn,"₹1,867.38",,"Rs. 1,949","2,090.00/-"
PR008575,2026-07-20,NA,NA,Sugarcane,3509.61,4356.0,3932.8,NA,NA,NA,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Unavailable: missing MSP,PR008575,20/07/2026,NA,Moga,Ganne,"₹3,509.61","Rs. 4,356",3932.8,
PR010458,2026-01-10,NA,NA,Cotton,5627.0,6650.37,6138.929109845614,6620.0,-481.0708901543858,True,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR010458,2026/01/10,NA,Bathinda,Kapas,"Rs. 5,627","6,650.37/-",6138.929109845614,6620
PR000951,2026-06-25,MANDI056,Bareilly,Rice,2226.17,2525.0,2376.0,2183.0,193.0,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000951,25.06.2026,MANDI-056,Hisar,Dhaan,2226.17,"Rs. 2,525","Rs. 2,376",2183
PR002105,2026-01-20,MANDI039,NA,Cotton,6155.47,6702.0,6428.56,6620.0,-191.4399999999996,True,Parsed: unambiguous,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR002105,01-20-2026,mandi_039,Kurukshetra,Kapas,"₹6,155.47","INR 6,702",6428.56,"₹6,620.00"
PR007951,2026-01-02,MANDI024,Karnal,Maize,2174.42,2348.9471523051525,2262.0,NA,NA,NA,Parsed: assumed format by separator,Matched,Conflicts with master,Unavailable: missing MSP,PR007951,02/01/2026,M024,Kurukshetra,Maize,"2,174.42/-",2348.9471523051525,"INR 2,262",
PR001266,2026-04-25,MANDI019,Moga,Sugarcane,3500.0,4245.0,3873.0,3500.0,373.0,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR001266,2026/04/25,MANDI019,Fatehabad,Ganna,"Rs. 3,500","Rs. 4,245","INR 3,873",3500
PR006089,2026-03-02,MANDI046,NA,Mustard,5142.95,5632.66,5387.81,5650.0,-262.1899999999996,True,Parsed: assumed format by separator,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR006089,02.03.2026,mandi_046,Ferozepur,Mustard,5142.95,"₹5,632.66","₹5,387.81",5650
PR010862,2026-02-11,MANDI042,Fatehabad,Mustard,5493.827969524963,6761.44,6127.63,5650.0,477.6300000000001,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR010862,2026/02/11,mandi042,Ambala,mustard,5493.827969524963,"6,761.44/-","₹6,127.63",5650
PR011617,2026-03-18,MANDI053,Saharanpur,Maize,2009.38,2235.4,2122.39,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR011617,18.03.2026,MANDI-053,Bathinda,Makka,"2,009.38/-","₹2,235.40",2122.39,
PR001291,2026-08-03,MANDI046,NA,Rice,1867.54,2189.09,2028.32,2183.0,-154.68000000000006,True,Parsed: unambiguous,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR001291,2026-08-03,mandi_046,Jalandhar,धान,"1,867.54/-",2189.09,"2,028.32/-","Rs. 2,183"
PR001377,2026-06-14,MANDI007,Amritsar,Rice,1970.8,2447.0,2209.0,NA,NA,NA,Parsed: unambiguous,Matched,Recoverable from master,Unavailable: missing MSP,PR001377,2026-06-14,MANDI007,,Basmati,"₹1,970.80","INR 2,447","INR 2,209",
PR003954,2026-03-31,MANDI017,NA,Rice,1971.7,2237.0,2104.0,2183.0,-79.0,True,Parsed: unambiguous,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR003954,2026-03-31,MANDI017,Kurukshetra,Dhaan,1971.7,"Rs. 2,237","INR 2,104","Rs. 2,183"
PR003093,2026-05-20,MANDI008,Amritsar,Rice,1975.0,2358.74,2166.76,2183.0,-16.23999999999978,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR003093,20-May-2026,M008,Ludhiana,चावल,"INR 1,975",2358.74,"2,166.76/-",2183
PR000689,2026-04-02,MANDI054,Saharanpur,Wheat,2293.99,2786.0,2540.0,NA,NA,NA,Parsed: assumed format by separator,Matched,Recoverable from master,Unavailable: missing MSP,PR000689,02.04.2026,MANDI054,,GEHUN,2293.99,"INR 2,786","Rs. 2,540",
PR002359,2026-04-09,MANDI026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0,129.78999999999996,False,Parsed: unambiguous,Matched,Agrees with master,Compared: common basis implied by challenge,PR002359,09-Apr-2026,MANDI026,Hisar,cotton,"INR 6,497","₹7,003.03",6749.79,"INR 6,620"
PR004233,2026-01-29,MANDI049,Muzaffarnagar,Rice,2082.58,NA,2270.31,2183.0,87.30999999999995,False,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR004233,29-Jan-2026,MANDI049,,paddy,2082.58,,2270.31,2183
PR009368,2026-04-05,MANDI014,Patiala,Cotton,6403.67,6871.07,6637.37,6620.0,17.36999999999989,False,Parsed: assumed format by separator,Matched,Conflicts with master,Compared: common basis implied by challenge,PR009368,04-05-2026,mandi014,Karnal,Narma,"₹6,403.67","₹6,871.07","₹6,637.37",6620
PR005203,2026-03-29,MANDI024,Karnal,Wheat,2124.53,2316.88,2220.7,2275.0,-54.30000000000018,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR005203,29-Mar-2026,MANDI024,Ferozepur,गेहूं,2124.53,"₹2,316.88",2220.7,"INR 2,275"
PR006235,2026-05-20,MANDI006,Amritsar,Cotton,NA,7062.16,6842.78,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR006235,20-May-2026,MANDI-006,Hisar,Cotton,,"₹7,062.16","₹6,842.78",
PR011846,2026-09-05,MANDI031,Sirsa,Wheat,2076.39,2414.63,2245.51,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR011846,2026-09-05,MANDI-031,Ambala,गेहूं,2076.39,2414.63,"2,245.51/-",
PR001340,2026-01-16,MANDI007,Amritsar,Rice,1857.0,2122.46,1989.82,2183.0,-193.18000000000006,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR001340,2026-01-16,MANDI007,Jalandhar,Paddy,"Rs. 1,857","2,122.46/-",1989.82,"INR 2,183"
PR008186,2026-01-25,NA,NA,Rice,2005.68,2112.51,2059.1,NA,NA,NA,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Unavailable: missing MSP,PR008186,01-25-2026,NA,Moga,Rice,2005.68,"₹2,112.51","₹2,059.10",
PR007070,2026-05-09,MANDI022,Karnal,Rice,2038.27,2509.7,2273.98,2183.0,90.98000000000002,False,Parsed: assumed format by separator,Matched,Recoverable from master,Compared: common basis implied by challenge,PR007070,09.05.2026,M022,,Rice,"2,038.27/-","2,509.70/-",2273.98,2183
PR004775,2026-02-23,NA,NA,Wheat,2097.0,2609.0,2353.0,2275.0,78.0,False,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR004775,02-23-2026,NA,Jalandhar,Gehun,"INR 2,097","Rs. 2,609","INR 2,353",2275
PR006448,2026-02-20,MANDI035,Ambala,Maize,1881.78,2319.1,2100.44,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR006448,20.02.2026,MANDI035,Ludhiana,corn,1881.78,2319.1,"₹2,100.44",
PR003034,2026-01-29,MANDI055,Bareilly,Wheat,2375.39,2905.0,2640.12,2275.0,365.1199999999999,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR003034,29/01/2026,MANDI055,Amritsar,Wheat,"2,375.39/-","Rs. 2,905","₹2,640.12","INR 2,275"
PR002947,2026-05-13,NA,NA,Cotton,6131.0,7320.96,6725.89,6620.0,105.89000000000033,False,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR002947,13/05/2026,NA,Patiala,Cotton,"INR 6,131",7320.96,"₹6,725.89","₹6,620.00"
PR002729,2026-03-02,MANDI008,Amritsar,Mustard,5787.16,6077.88,5932.52,5650.0,282.52000000000044,False,Parsed: assumed format by separator,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002729,02.03.2026,MANDI008,Karnal,Mustard,"₹5,787.16",6077.88,5932.52,"₹5,650.00"
PR007737,2026-02-20,MANDI012,Patiala,Wheat,1964.0,2203.07,2083.63,2275.0,-191.3699999999999,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR007737,20-Feb-2026,MANDI012,Amritsar,गेहूं,"Rs. 1,964",2203.07,2083.63,"2,275.00/-"
PR005676,2026-07-01,MANDI007,Amritsar,Maize,1976.82,2419.0,2197.94,2090.0,107.94000000000005,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR005676,01-Jul-2026,MANDI007,Fatehabad,Corn,1976.82,"Rs. 2,419","₹2,197.94","2,090.00/-"
PR007093,2026-01-31,MANDI051,Saharanpur,Rice,2285.36,2595.15,NA,2183.0,NA,NA,Parsed: unambiguous,Matched,Recoverable from master,Unavailable: missing modal price,PR007093,2026-01-31,MANDI051,NA,Basmati,"₹2,285.36","₹2,595.15",,"INR 2,183"
PR008805,2026-03-11,MANDI046,NA,Mustard,4820.0,5699.0,5259.53,5650.0,-390.47000000000025,True,Parsed: unambiguous,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR008805,2026-03-11,M046,Ludhiana,सरसों,"INR 4,820","Rs. 5,699","5,259.53/-",5650
PR005981,2026-07-23,MANDI013,Patiala,Wheat,2341.23,2517.0,2429.19,2275.0,154.19000000000005,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR005981,2026-07-23,MANDI-013,Kurukshetra,wheat,"₹2,341.23","Rs. 2,517","₹2,429.19","₹2,275.00"
PR000060,2026-05-14,NA,NA,Mustard,5811.32,6329.19,6070.26,5650.0,420.2600000000002,False,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR000060,14/05/2026,NA,Ferozepur,mustard,"5,811.32/-",6329.19,"₹6,070.26",5650
PR001371,2026-06-04,MANDI030,Sirsa,Cotton,5660.0,6087.83,5874.0,6620.0,-746.0,True,Parsed: assumed format by separator,Matched,Conflicts with master,Compared: common basis implied by challenge,PR001371,04/06/2026,MANDI030,Ferozepur,cotton,"Rs. 5,660",6087.83,"Rs. 5,874","₹6,620.00"
PR003239,2026-01-03,NA,NA,Rice,1872.0,2174.23,2023.3017368627488,2183.0,-159.69826313725116,True,Parsed: assumed format by separator,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR003239,03.01.2026,NA,Karnal,चावल,"INR 1,872",2174.23,2023.3017368627486,"INR 2,183"
PR002056,2026-08-22,MANDI009,Jalandhar,Rice,1908.1409099896423,2009.0,1958.0,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR002056,22.08.2026,mandi_009,Ferozepur,Basmati,1908.1409099896425,"INR 2,009","Rs. 1,958",
PR005252,2026-01-05,MANDI032,NA,Wheat,2151.86,2675.13,2413.49,NA,NA,NA,Parsed: assumed format by separator,Matched,Unresolved: district missing in master,Unavailable: missing MSP,PR005252,05.01.2026,MANDI-032,Jalandhar,Gehun,"₹2,151.86","₹2,675.13",2413.49,
PR009259,2026-06-01,MANDI055,Bareilly,Sugarcane,3152.0,3337.0,3244.6003698960367,3500.0,-255.39963010396332,True,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR009259,01-Jun-2026,M055,,Ganne,"INR 3,152","Rs. 3,337",3244.6003698960367,"Rs. 3,500"
PR002760,2026-02-15,MANDI036,KURUKSHETRA,Cotton,6302.29,7206.81,6754.55,6620.0,134.55000000000018,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002760,02-15-2026,036,Karnal,Narma,6302.29,7206.81,"₹6,754.55","6,620.00/-"
PR004003,2026-08-25,MANDI029,SIRSA,Sugarcane,3083.37,3315.0,3199.0,3500.0,-301.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR004003,25/08/2026,mandi_029,Kurukshetra,Ganna,"3,083.37/-","Rs. 3,315","Rs. 3,199","Rs. 3,500"
PR008764,2026-05-31,MANDI039,NA,Cotton,6311.65,6815.97,6563.81,NA,NA,NA,Parsed: unambiguous,Matched,Unresolved: district missing in master,Unavailable: missing MSP,PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,"6,311.65/-",6815.97,"6,563.81/-",
PR004575,2026-08-28,MANDI040,Fatehabad,Rice,2184.65,2619.32,2401.982891153114,2183.0,218.982891153114,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR004575,28-Aug-2026,mandi040,Ferozepur,चावल,"₹2,184.65","₹2,619.32",2401.982891153114,2183
PR001751,2026-07-19,MANDI047,Muzaffarnagar,Mustard,5637.61,NA,6334.03,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR001751,19.07.2026,MANDI047,Ludhiana,सरसों,"5,637.61/-",,6334.03,
PR001077,2026-07-22,NA,NA,Mustard,5178.312104348875,NA,5757.03,5650.0,107.02999999999975,False,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Compared: common basis implied by challenge,PR001077,07-22-2026,NA,Kurukshetra,सरसों,5178.312104348875,,5757.03,5650
PR005404,2026-01-22,MANDI034,Ambala,Maize,1786.3365949009074,1926.15,1856.24,2090.0,-233.76,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR005404,22/01/2026,M034,Sirsa,मक्का,1786.3365949009074,"1,926.15/-",1856.24,"₹2,090.00"
PR006339,2026-04-25,MANDI051,Saharanpur,Cotton,6696.62,7530.0,7113.15,6620.0,493.14999999999964,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR006339,25.04.2026,MANDI051,Karnal,Narma,"₹6,696.62","INR 7,530","₹7,113.15",6620
PR009691,2026-05-11,MANDI010,Jalandhar,Sugarcane,3201.15,3361.389536195206,3281.27,3500.0,-218.73000000000002,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR009691,2026/05/11,MANDI010,Fatehabad,Ganna,"₹3,201.15",3361.389536195206,3281.27,3500
PR010145,2026-02-02,MANDI013,Patiala,Wheat,2069.22,2309.0,2188.9685772991033,2275.0,-86.03142270089666,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR010145,2026-02-02,MANDI013,Kurukshetra,GEHUN,2069.22,"INR 2,309",2188.9685772991033,"INR 2,275"
PR001300,2026-08-02,MANDI046,NA,Maize,1918.0,2158.02,2038.25,2090.0,-51.75,True,Parsed: unambiguous,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR001300,2026-08-02,mandi_046,Patiala,corn,"INR 1,918","₹2,158.02",2038.25,"INR 2,090"
PR007631,2026-03-02,MANDI055,Bareilly,Wheat,2386.55,2953.19,2669.87,2275.0,394.8699999999999,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR007631,2026/03/02,MANDI055,Bathinda,Wheat,"₹2,386.55","2,953.19/-","2,669.87/-",2275
PR000891,2026-07-17,MANDI050,Muzaffarnagar,Sugarcane,3360.97,3721.24,3541.11,3500.0,41.11000000000013,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000891,17/07/2026,mandi050,Amritsar,Ganna,3360.97,"₹3,721.24",3541.11,"Rs. 3,500"
PR000564,2026-01-05,MANDI039,NA,Sugarcane,3448.28,4181.0,3814.67,3500.0,314.6700000000001,False,Parsed: assumed format by separator,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR000564,05.01.2026,mandi039,Hisar,Sugarcane,3448.28,"INR 4,181","3,814.67/-",3500
PR000602,2026-05-29,MANDI009,Jalandhar,Rice,1924.0,2048.1,1986.0,2183.0,-197.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000602,2026-05-29,mandi_009,Ambala,Dhaan,"INR 1,924","₹2,048.10","INR 1,986","Rs. 2,183"
PR010104,2026-06-29,MANDI040,Fatehabad,Wheat,2287.5,2466.13,2376.82,2275.0,101.82000000000016,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR010104,2026-06-29,M040,Karnal,WHEAT,2287.5,2466.13,"2,376.82/-","INR 2,275"
PR000234,2026-03-06,MANDI046,NA,Sugarcane,3421.0,3726.0,3573.51,3500.0,73.51000000000022,False,Parsed: assumed format by separator,Matched,Unresolved: district missing in master,Compared: common basis implied by challenge,PR000234,03-06-2026,M046,Sirsa,Ganne,"INR 3,421","Rs. 3,726",3573.51,3500
PR005480,2026-07-20,MANDI050,Muzaffarnagar,Mustard,5592.07,6362.979993983251,5977.53,5650.0,327.52999999999975,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR005480,20/07/2026,MANDI050,Moga,Mustard,"5,592.07/-",6362.979993983251,"₹5,977.53",5650
PR010827,2026-06-25,MANDI005,Amritsar,Sugarcane,3119.64,3645.1,3382.37,3500.0,-117.63000000000011,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR010827,2026-06-25,MANDI005,Fatehabad,sugarcane,3119.64,3645.1,"₹3,382.37",3500
PR000661,2026-07-26,MANDI029,SIRSA,Rice,NA,2666.93,2401.0,2183.0,218.0,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000661,26/07/2026,MANDI-029,Fatehabad,Paddy,,2666.93,"INR 2,401","2,183.00/-"
PR002565,2026-05-07,MANDI043,Agra,Maize,NA,2198.0,2022.0,2090.0,-68.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002565,07-May-2026,MANDI043,Ludhiana,Makki,,"INR 2,198","INR 2,022","INR 2,090"
PR004659,2026-01-23,MANDI010,Jalandhar,Maize,1944.04,2211.0,2077.0,2090.0,-13.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR004659,01-23-2026,MANDI010,Sirsa,Makka,"₹1,944.04","INR 2,211","INR 2,077","INR 2,090"
PR008402,2026-06-16,MANDI027,Hisar,Maize,1845.0,2143.52,1994.33,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR008402,16/06/2026,MANDI027,Fatehabad,मक्का,"INR 1,845",2143.52,"₹1,994.33",
